                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5655,                 3.7738,                 1.5476,                0.00809,                0.75281,                0.12395,                0.06239,                 1.5866,                 3.5191,                 1.5539,             0.00024901,             0.00024901,             0.00024901
                      2,                 1.5553,                 3.0425,                 1.6093,                0.48088,                0.18693,                0.16503,                0.08913,                 1.6153,                 2.9325,                 1.6494,             0.00048867,             0.00048867,             0.00048867
                      3,                 1.5649,                 2.7729,                 1.5765,                0.37198,                0.29251,                0.23396,                0.12183,                 1.7579,                 2.7893,                 1.8455,             0.00071141,             0.00071141,             0.00071141
                      4,                 1.5527,                 2.6219,                 1.5778,                0.40282,                0.29964,                0.22887,                0.11619,                 1.7282,                 2.8543,                 1.7519,             0.00069287,             0.00069287,             0.00069287
                      5,                  1.604,                 2.5601,                 1.5774,                0.34581,                0.23667,                0.19229,                0.09391,                 1.7721,                 3.1104,                  1.816,             0.00069287,             0.00069287,             0.00069287
                      6,                    1.6,                 2.5345,                 1.6011,                0.37991,                0.35459,                 0.2821,                0.13673,                 1.7494,                 2.6902,                 1.7934,             0.00066749,             0.00066749,             0.00066749
                      7,                 1.5503,                 2.3779,                 1.5515,                0.39706,                0.30285,                 0.2815,                0.14942,                 1.7299,                 2.6224,                 1.7692,             0.00064212,             0.00064212,             0.00064212
                      8,                 1.5544,                 2.3417,                 1.5565,                0.42316,                0.38561,                0.29975,                0.15262,                 1.7518,                 2.3291,                 1.7498,             0.00061674,             0.00061674,             0.00061674
                      9,                 1.4725,                 2.2158,                 1.4965,                0.52391,                0.31211,                0.36013,                0.19456,                 1.7008,                 2.1946,                 1.6741,             0.00059136,             0.00059136,             0.00059136
                     10,                 1.4729,                 2.1311,                 1.4772,                 0.5523,                0.35987,                0.38083,                0.21273,                 1.6975,                 2.2137,                 1.6642,             0.00056598,             0.00056598,             0.00056598
                     11,                 1.4722,                 2.0896,                 1.4833,                0.56361,                0.35445,                0.38859,                0.20743,                 1.6827,                  2.124,                 1.6588,             0.00054061,             0.00054061,             0.00054061
                     12,                 1.4569,                 2.0435,                 1.4729,                0.48929,                 0.3583,                0.36421,                0.19954,                  1.703,                 2.1423,                 1.6884,             0.00051523,             0.00051523,             0.00051523
                     13,                 1.4453,                  2.043,                 1.4844,                0.56998,                0.39867,                0.36127,                0.19423,                   1.67,                 2.1055,                 1.6808,             0.00048985,             0.00048985,             0.00048985
                     14,                 1.4203,                 1.9767,                 1.4465,                0.57292,                0.40203,                0.41171,                0.22468,                 1.6413,                 1.9942,                 1.6531,             0.00046448,             0.00046448,             0.00046448
                     15,                  1.403,                 1.8931,                 1.4487,                0.55529,                0.47654,                0.43281,                0.24379,                 1.6623,                 2.0039,                 1.5999,              0.0004391,              0.0004391,              0.0004391
                     16,                 1.4065,                 1.8601,                 1.4526,                0.54094,                0.42444,                0.39466,                0.22098,                 1.6311,                 1.9194,                 1.6237,             0.00041372,             0.00041372,             0.00041372
                     17,                 1.4209,                 1.8073,                 1.4271,                0.59977,                0.37161,                0.40003,                0.22593,                 1.6436,                 1.8364,                 1.6106,             0.00038835,             0.00038835,             0.00038835
                     18,                 1.3965,                  1.721,                 1.4102,                0.57005,                0.46382,                0.42869,                0.24639,                 1.6136,                 1.8639,                 1.6111,             0.00036297,             0.00036297,             0.00036297
                     19,                 1.3544,                 1.7042,                 1.3855,                0.55226,                0.41034,                0.38719,                 0.2116,                 1.6431,                 1.9514,                 1.6124,             0.00033759,             0.00033759,             0.00033759
                     20,                 1.3585,                 1.6758,                 1.4008,                0.62243,                0.46675,                 0.4578,                 0.2515,                 1.6275,                 1.7998,                 1.6024,             0.00031221,             0.00031221,             0.00031221
                     21,                 1.4219,                 1.7593,                 1.4839,                0.67257,                0.42401,                0.45863,                0.25108,                 1.6454,                 1.8445,                  1.613,             0.00028684,             0.00028684,             0.00028684
                     22,                 1.3844,                 1.6472,                 1.4576,                0.47122,                0.45754,                 0.4443,                0.24189,                 1.5988,                 1.7849,                 1.5993,             0.00026146,             0.00026146,             0.00026146
                     23,                 1.3514,                 1.6121,                 1.4141,                0.64928,                0.41324,                0.46864,                0.26605,                 1.6093,                 1.7482,                 1.5997,             0.00023608,             0.00023608,             0.00023608
                     24,                 1.3621,                 1.5789,                 1.4149,                0.62275,                0.46506,                0.46794,                0.26362,                 1.6097,                  1.756,                 1.5848,             0.00021071,             0.00021071,             0.00021071
                     25,                 1.3355,                 1.5341,                 1.4161,                0.46699,                0.48826,                0.46945,                0.26672,                 1.5841,                 1.6857,                 1.5607,             0.00018533,             0.00018533,             0.00018533
                     26,                 1.3368,                 1.5278,                 1.4155,                0.66967,                0.42062,                0.48103,                0.27873,                 1.5954,                 1.6632,                 1.5685,             0.00015995,             0.00015995,             0.00015995
                     27,                 1.2718,                 1.4335,                 1.3589,                0.52508,                0.46186,                0.50254,                0.29456,                 1.5821,                 1.6475,                 1.5576,             0.00013457,             0.00013457,             0.00013457
                     28,                 1.2416,                 1.3802,                 1.3304,                0.69556,                 0.4426,                0.50812,                0.29082,                 1.5932,                 1.6427,                 1.5604,              0.0001092,              0.0001092,              0.0001092
                     29,                 1.2368,                 1.3672,                   1.33,                0.61384,                0.49623,                0.49937,                0.28821,                 1.6073,                 1.6554,                 1.5608,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     30,                 1.2259,                 1.3426,                  1.318,                0.65691,                0.47489,                0.50259,                0.28775,                    1.6,                 1.6429,                 1.5642,             5.8444e-05,             5.8444e-05,             5.8444e-05
